pmid,subject,relation,object,found,relation_term_matched,distance_chars,snippet
PMC5651009,Paraponera clavata,interactsWith,Ophiocordyceps kniphofioides,True,True,2,"The highest proportion of antifungal activity was seen for bioassays between P. clavata Actinobacteria and the fungal isolate BA18. In this group of bioassays, 10 out 12 Actinobacteria isolates inhibited the growth of the Ophiocordyceps fungus. In the case of P. clavata Actinobacteria and the PCFB ( O. kniphofioides ) fungal isolate, 8 out 15 bacterial isolates produced halos of inhibition."
PMC5651009,Actinobacteria,interactsWith,Paratrechina,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Ophiocordyceps kniphofioides,pathogenOf,Cephalotes atratus,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
PMC5651009,Streptomyces,interactsWith,Petalomyrmex,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Streptomyces,interactsWith,Paratrechina,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Streptomyces,interactsWith,Petalomyrmex phylax,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Paraponera,interactsWith,Ophiocordyceps,True,True,2,"For every group of bioassays, at least three different Actinobacteria isolates that could inhibit the growth of the pathogenic fungi in vitro ( Figure 9 ) were found. The highest proportion of antifungal activity was seen for bioassays between P. clavata Actinobacteria and the fungal isolate BA18. In this group of bioassays, 10 out 12 Actinobacteria isolates inhibited the growth of the Ophiocordyceps fungus."
PMC5651009,Formicidae,interactsWith,Ophiocordycipitaceae,True,True,2,"All of the insect species examined (those from which entomopathogenic fungi were isolated) had more than three different associated Actinobacteria strains that were capable of producing zones of inhibition in co-culture in vitro bioassays ( Figure 9 ). Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 )."
PMC5651009,Paraponera clavata,interactsWith,Ophiocordyceps,True,True,2,"For every group of bioassays, at least three different Actinobacteria isolates that could inhibit the growth of the pathogenic fungi in vitro ( Figure 9 ) were found. The highest proportion of antifungal activity was seen for bioassays between P. clavata Actinobacteria and the fungal isolate BA18. In this group of bioassays, 10 out 12 Actinobacteria isolates inhibited the growth of the Ophiocordyceps fungus."
PMC6002356,Ophiocordyceps kniphofioides,pathogenOf,Paraponera clavata,True,True,2,"(ant images from www.AntWeb.org and the photographers: Oecophylla , Camponotus , Dolichoderus , Cephalotes , Paraponera and Daceton : April Nobile, Polyrhachis : Will Ericson. Species of fungi within the O. kniphofioides clade share several morphological and ecological characters. All species within this clade are exclusively pathogens of Neotropical ants (i.e. Cephalotes atratus , Paraponera clavata , Dolichoderus bispinosus and Daceton armigerum )"
PMC6002356,Ophiocordyceps kniphofioides,pathogenOf,Dolichoderus bispinosus,True,True,2,"(ant images from www.AntWeb.org and the photographers: Oecophylla , Camponotus , Dolichoderus , Cephalotes , Paraponera and Daceton : April Nobile, Polyrhachis : Will Ericson. Species of fungi within the O. kniphofioides clade share several morphological and ecological characters. All species within this clade are exclusively pathogens of Neotropical ants (i.e. Cephalotes atratus , Paraponera clavata , Dolichoderus bispinosus and Daceton armigerum )"
PMC6002356,Hirsutella,pathogenOf,Cephalotes,True,True,2,"One of these – Hirsutella stilbelliformis var. stilbelliformis – plays a remarkable role of transmission even after the host removal. Evans & Samson (1982) described a behaviour in which apparently non-infected Cephalotes atratus – not displaying symptoms of fungal infection – actively attempted to remove infected cadavers from the lower trunk of the so-called cemetery or graveyard tree, forming a necropolis of ant corpses just above the tree base ( Fig. 21 )."
PMC6002356,Ophiocordyceps camponoti-indiani,pathogenOf,Camponotus,True,True,2,"In addition, the description of species from Thailand does not include any information regarding ascospore behaviour, although it is probable that they also produce capilliconidiophores. Ophiocordyceps camponoti-indiani produces ascospores measuring 75 × 5 μm exhibiting up to three capilliconidiophores that are up to 130 μm in length, which is the longest described for the O. unilateralis group so far ( Araújo et al. 2015 ). Interestingly, Camponotus indianus is significantly bigger than other Amazonian Camponotus species infected by this group of pathogens."
PMC6002356,Ophiocordyceps,pathogenOf,Daceton,True,True,2,"Ant figures correspond to the ant genera infected by each clade within hirsutelloid Ophiocordyceps . At the top right a round phylogeny showing the whole analyses with the entire dataset used in this study, which included Cordycipitaceae, Clavicipitaceae and Ophiocordycipitaceae species, with Ophiocordyceps highlighted. (ant images from www.AntWeb.org and the photographers: Oecophylla , Camponotus , Dolichoderus , Cephalotes , Paraponera and Daceton : April Nobile, Polyrhachis : Will Ericson."
