source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri
Myrmicinosporidium durum,pathogenOf,Leptothorax recedens,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax exilis,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax lichtensteini,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax angustulus,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Aspergillus flavus,pathogenOf,Atta texana,"Steinhaus, E.A.; and Marsh, G.A.1967.Previously unreported accessions for diagnosis and new records.Journal of Invertebrate Pathology 9(3):436-438",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Fusarium solani,hasHost,Atta texana,http://www.ncbi.nlm.nih.gov/nuccore/262285838,http://www.ncbi.nlm.nih.gov/nuccore/262285838,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Attaphila fungicola,interactsWith,Atta texana,https://arctos.database.museum/guid/UTEP:Ento:16451,https://arctos.database.museum/guid/UTEP:Ento:16451,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax affinis,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax tuberum tuberum,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax racovitzai,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Pheidole pallidula,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmecomyces annellisiae,hasHost,Solenopsis invicta,https://mycoportal.org/portal/collections/individual/index.php?occid=3218373,https://mycoportal.org/portal/collections/individual/index.php?occid=3218373,https://github.com/globalbioticinteractions/mycoportal/archive/646fe260d16e7ae85451d1813a1df332e8525a8d.zip
Candida,hasHost,Solenopsis invicta,https://mycoportal.org/portal/collections/individual/index.php?occid=917576,https://mycoportal.org/portal/collections/individual/index.php?occid=917576,https://github.com/globalbioticinteractions/mycoportal/archive/646fe260d16e7ae85451d1813a1df332e8525a8d.zip
Pseudomonas aeruginosa,parasiteOf,Solenopsis invicta,"Gippet, J.M.W., Bates, O.K., Moulin, J. et al. The global risk of infectious disease emergence from giant land snail invasion and pet trade. Parasites Vectors 16, 363 (2023). https://doi.org/10.1186/s13071-023-06000-y. Accessed at <https://github.com/jhpoelen/Gippet2023_GiantLandSnails/archive/26bc8f39ed37574fe8a2cd914fd2a345a4689034.zip> on 11 Apr 2026.",https://doi.org/10.1186/s13071-023-06000-y,https://github.com/jhpoelen/Gippet2023_GiantLandSnails/archive/26bc8f39ed37574fe8a2cd914fd2a345a4689034.zip
Bacillus cereus,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584163,http://www.ncbi.nlm.nih.gov/nuccore/199584163,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Staphylococcus epidermidis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584161,http://www.ncbi.nlm.nih.gov/nuccore/199584161,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus pumilus,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584150,http://www.ncbi.nlm.nih.gov/nuccore/199584150,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus subtilis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584159,http://www.ncbi.nlm.nih.gov/nuccore/199584159,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Serratia marcescens,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658341,http://www.ncbi.nlm.nih.gov/nuccore/61658341,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Achromobacter xylosoxidans,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658338,http://www.ncbi.nlm.nih.gov/nuccore/61658338,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Pseudomonas aeruginosa,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658337,http://www.ncbi.nlm.nih.gov/nuccore/61658337,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Lactococcus garvieae,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658335,http://www.ncbi.nlm.nih.gov/nuccore/61658335,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Kluyvera cryocrescens,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/61658334,http://www.ncbi.nlm.nih.gov/nuccore/61658334,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Bacillus thuringiensis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584160,http://www.ncbi.nlm.nih.gov/nuccore/199584160,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Staphylococcus hominis,hasHost,Solenopsis invicta,http://www.ncbi.nlm.nih.gov/nuccore/199584148,http://www.ncbi.nlm.nih.gov/nuccore/199584148,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Burenella dimorpha,pathogenOf,Solenopsis invicta,"Jouvenaz, D.P., and Lofgren, C.S., 1984. Host specificity of Burenella dimorpha (Microspora: Microsporida). J. Invertebr. Pathol. 43: 441-442.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Vairimorpha invictae,pathogenOf,Solenopsis invicta,"Jouvenaz, D.P., and Ellis, E.A., 1986. Vairimorpha invictae n. sp. (Microspora: Microsporidia), a parasite of the red imported fire ant. Solenopsis invicta Buren (Hymenoptera: Formicidae). J. Protozool. 33: 457-461.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Thelohania,pathogenOf,Solenopsis invicta,"Sprague, V. 1977. Annotated List of Species of Microsporidia. pp. 31-334. In Bulla, L.A. and Cheng, T.C. [eds.], Comparative Pathobiology V. 2; Systematics of the Microsporidia. Plenum Press, New York; Allen, G.E., and Buren, W.F. 1974. Microsporidan and fungal diseases of Solenopsis invicta Buren in Brazil. J.N.Y. Entomol. Soc. 82:125-130.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Metarhizium anisopliae,pathogenOf,Solenopsis invicta,"Humber, R.A. 1995. Collection of entomopathogenic fungal cultures (unpublished) U.S. Department of Agriculture, Agriculture Research Service, Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.; Humber, R.A. 1999? Collection of entomopathogenic fungal cultures (unpublished) U.S. Department of Agriculture, Agriculture Research Service, Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Beauveria bassiana,pathogenOf,Solenopsis invicta,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.); Sanchez-Pena, S.R., and Thorvilson, H. G. 1995. Effect of long-term storage and conidial suspending agents on the virulence of Beauveria bassiana towardSolenopsis invicta. J. Invertebr. Pathol. 65: 248-252.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Beauveria brongniartii,pathogenOf,Solenopsis invicta,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Conidiobolus,pathogenOf,Solenopsis invicta,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Beauveria amorpha,interactsWith,Formicidae,https://mycoportal.org/portal/collections/individual/index.php?occid=1842337,https://mycoportal.org/portal/collections/individual/index.php?occid=1842337,https://github.com/globalbioticinteractions/mycoportal/archive/646fe260d16e7ae85451d1813a1df332e8525a8d.zip
Ophiocordyceps myrmecophila,hasHost,Formicidae,https://mycoportal.org/portal/collections/individual/index.php?occid=1564673,https://mycoportal.org/portal/collections/individual/index.php?occid=1564673,https://github.com/globalbioticinteractions/mycoportal/archive/646fe260d16e7ae85451d1813a1df332e8525a8d.zip
