pair
"Candida , hasHost , Solenopsis invicta"
"Penicillium camponoti , hasHost , Camponotus pennsylvanicus"
"Ophiocordyceps unilateralis , pathogenOf , Polyrhachis"
"Ophiocordyceps , pathogenOf , Colobopsis"
"Ophiocordyceps unilateralis , pathogenOf , Camponotus"
"Ophiocordyceps unilateralis , pathogenOf , Polyrhachis debilis"
"Ophiocordyceps unilateralis , pathogenOf , Polyrhachis illaudata"
"Ophiocordyceps , parasiteOf , Colobopsis"
"Leucoagaricus gongylophorus , hasHost , Trachymyrmex cornetzi"
"Leucoagaricus gongylophorus , hasHost , Acromyrmex octospinosus"
"Leucoagaricus gongylophorus , hasHost , Acromyrmex subterraneus"
"Leucoagaricus gongylophorus , hasHost , Atta insularis"
"Leucoagaricus gongylophorus , hasHost , Atta columbica"
"Escovopsis , pathogenOf , Atta"
"Escovopsis , pathogenOf , Apterostigma pilosum"
"Escovopsis , pathogenOf , Apterostigma dentigerum"
"Hypocreaceae , parasiteOf , Formicidae"
"Escovopsis , parasiteOf , Apterostigma dentigerum"
"Escovopsis , pathogenOf , Cyphomyrmex muelleri"
"Escovopsis , pathogenOf , Cyphomyrmex costatus"
"Microascaceae , hasHost , Allomerus"
"Tremellomycetes , hasHost , Allomerus"
"Trichocomaceae , hasHost , Allomerus"
"Readerielliopsidaceae , hasHost , Allomerus"
"Bionectriaceae , hasHost , Allomerus"
"Burenella dimorpha , pathogenOf , Solenopsis invicta"
"Metarhizium anisopliae , pathogenOf , Solenopsis richteri"
"Lecanicillium lecanii , pathogenOf , Formica"
"Bacillus pumilus , hasHost , Solenopsis invicta"
"Blastobotrys attinorum , hasHost , Atta sexdens"
"Hypocreaceae , interactsWith , Formicidae"
"Bipolaris , pathogenOf , Atta"
"Formicidae , preysOn , Desulfonatronovibrionaceae"
"Formicidae , preysOn , Desulfonatronospira thiodismutans"
"Wolbachia , pathogenOf , Temnothorax"
"Ophiocordyceps , pathogenOf , Camponotus floridanus"
"Ophiocordycipitaceae , interactsWith , Formicidae"
"Ophiocordyceps , interactsWith , Camponotus"
"Laboulbenia , parasiteOf , Lasius"
"Ophiocordyceps camponoti-atricipis , pathogenOf , Formicidae"
"Ophiocordyceps kniphofioides , pathogenOf , Paraponera clavata"
"Ophiocordyceps , pathogenOf , Myrmica"
"Ophiocordyceps , pathogenOf , Cephalotes"
"Streptomycetaceae , interactsWith , Formicidae"
"Ophiocordyceps , pathogenOf , Dinoponera"
